venue,role,side,qty,price,mid,fee_bps,fee,spread_capture,symbol
VENUE_A,maker,SELL,40,100.67,0.0,-0.05,-0.020134000000000003,4026.8,
VENUE_C,taker,BUY,12,100.03,0.0,0.18,-0.021606480000000004,0.0,
VENUE_A,maker,SELL,40,0.7,0.0,-0.05,-0.00014000000000000001,28.0,
VENUE_C,taker,BUY,24,100.03,0.0,0.18,-0.04321296000000001,0.0,
VENUE_A,maker,SELL,40,0.7,0.0,-0.05,-0.00014000000000000001,28.0,
VENUE_C,taker,BUY,36,100.03,0.0,0.18,-0.06481944,0.0,
VENUE_A,maker,SELL,20,0.7,50.33,-0.05,-7.000000000000001e-05,-992.5999999999999,
VENUE_A,maker,SELL,20,0.7,0.0,-0.05,-7.000000000000001e-05,14.0,
VENUE_C,taker,BUY,48,100.04,0.0,0.18,-0.08643456000000001,0.0,
VENUE_A,maker,SELL,20,0.7,0.0,-0.05,-7.000000000000001e-05,14.0,
VENUE_A,maker,SELL,20,0.7,0.0,-0.05,-7.000000000000001e-05,14.0,
VENUE_C,taker,BUY,60,100.04,0.0,0.18,-0.1080432,0.0,
VENUE_A,maker,SELL,40,0.7,0.0,-0.05,-0.00014000000000000001,28.0,
VENUE_C,taker,BUY,72,100.04,0.0,0.18,-0.12965184000000002,0.0,
VENUE_C,taker,BUY,72,100.05,0.0,0.18,-0.1296648,0.0,
VENUE_A,maker,SELL,40,51.05,0.0,-0.05,-0.01021,2042.0,
VENUE_C,taker,BUY,36,100.05,0.0,0.18,-0.0648324,0.0,
VENUE_A,maker,SELL,40,0.7,0.0,-0.05,-0.00014000000000000001,28.0,
VENUE_A,maker,BUY,40,99.3,0.0,-0.05,-0.019860000000000003,-3972.0,
VENUE_A,maker,SELL,40,0.7,0.0,-0.05,-0.00014000000000000001,28.0,
VENUE_C,taker,SELL,10,99.95,0.0,0.18,-0.017991,0.0,
VENUE_C,taker,SELL,2,99.95,0.0,0.18,-0.0035982,0.0,
VENUE_A,maker,BUY,40,-0.7,0.0,-0.05,0.00014000000000000001,28.0,
VENUE_A,maker,SELL,40,0.7,0.0,-0.05,-0.00014000000000000001,28.0,
VENUE_A,maker,SELL,20,0.7,0.0,-0.05,-7.000000000000001e-05,14.0,
VENUE_A,maker,BUY,20,-0.7,0.0,-0.05,7.000000000000001e-05,14.0,
VENUE_A,maker,SELL,20,0.7,49.66,-0.05,-7.000000000000001e-05,-979.1999999999998,
VENUE_A,maker,BUY,20,-0.7,0.0,-0.05,7.000000000000001e-05,14.0,
VENUE_A,maker,SELL,40,0.7,49.66,-0.05,-0.00014000000000000001,-1958.3999999999996,
VENUE_A,maker,BUY,20,48.95,49.65,-0.05,-0.004895,13.999999999999915,
VENUE_A,maker,SELL,20,50.35,49.65,-0.05,-0.005035,14.000000000000057,
VENUE_B,maker,SELL,40,101.01,0.0,-0.02,-0.0080808,4040.4,
VENUE_A,maker,BUY,20,48.95,49.64,-0.05,-0.004895,13.799999999999955,
VENUE_A,maker,BUY,20,48.95,49.64,-0.05,-0.004895,13.799999999999955,
VENUE_A,maker,SELL,40,50.35,0.0,-0.05,-0.01007,2014.0,
VENUE_A,maker,SELL,20,0.7,-0.01,-0.05,-7.000000000000001e-05,14.2,
VENUE_A,maker,BUY,40,-0.7,-0.01,-0.05,0.00014000000000000001,27.599999999999998,
VENUE_A,maker,SELL,20,0.7,0.0,-0.05,-7.000000000000001e-05,14.0,
VENUE_B,maker,SELL,40,76.2,0.0,-0.02,-0.006096000000000001,3048.0,
VENUE_A,maker,SELL,20,0.7,0.0,-0.05,-7.000000000000001e-05,14.0,
